src,dest,batch
73160525,4169879,0
73160525,410917,0
73160528,4169879,0
73160528,1555228,0
73160531,4169879,0
73160531,1486892,0
73160532,4169879,0
73160532,4169845,0
73160535,4169879,0
73160535,12720391,0
73160537,4169879,0
73160537,822680,0
73160540,4169879,0
73160540,2480681,0
73160543,4169879,0
73160543,726565,0
73160545,4169879,0
73160545,6970734,0
73160548,4169879,0
73160548,2138765,0
73160549,4169879,0
73160549,2544685,0
73160565,14951735,0
73160565,822680,0
73160567,14951735,0
73160567,2480681,0
73160570,14951735,0
73160570,726565,0
73160572,14951735,0
73160572,6970734,0
73160575,14951735,0
73160575,3175168,0
73160576,14951735,0
73160576,2138765,0
73160579,14951735,0
73160579,2544685,0
73160597,822680,0
73160597,822668,0
73160600,822680,0
73160600,3442335,0
73160603,822680,0
73160603,3455784,0
73160606,822680,0
73160606,8440976,0
73160609,822680,0
73160609,2410145,0
73160612,822680,0
73160612,2480681,0
73160615,822680,0
73160615,726565,0
73160617,822680,0
73160617,3175168,0
73160620,822680,0
73160620,2138765,0
73160635,2480681,0
73160635,9497030,0
73160638,2480681,0
73160638,8481772,0
73160640,2480681,0
73160640,7174689,0
73160643,2480681,0
73160643,2148396,0
73160644,2480681,0
73160644,6970734,0
73160645,2480681,0
73160645,3175168,0
73160656,726565,0
73160656,4086331,0
73160659,726565,0
73160659,504314,0
73160662,726565,0
73160662,726542,0
73160665,726565,0
73160665,3481970,0
73160667,726565,0
73160667,6338073,0
73160670,726565,0
73160670,3175168,0
73160673,726565,0
73160673,2544685,0
73160687,6970734,0
73160687,6970656,0
73160690,6970734,0
73160690,3468839,0
73160693,6970734,0
73160693,10678951,0
73160695,6970734,0
73160695,2544685,0
73160711,3175168,0
73160711,4008821,0
73160713,3175168,0
73160713,1832582,0
73160716,3175168,0
73160716,799227,0
73160718,3175168,0
73160718,4008822,0
73160721,3175168,0
73160721,2478762,0
73160732,2138765,0
73160732,4978029,0
73160744,2544685,0
73160744,5292285,0
73160747,2544685,0
73160747,18933121,0
73160750,2544685,0
73160750,995009,0
73160766,4159094,0
73160766,463587,0
73160769,4159094,0
73160769,1292829,0
73160770,4159094,0
73160770,726565,0
73160773,4159094,0
73160773,6970734,0
73160775,4159094,0
73160775,3175168,0
73160776,4159094,0
73160776,2544685,0
73160778,4159094,0
73160778,467250,0
73160781,4159094,0
73160781,6200033,0
73160794,467250,0
73160794,12815675,0
73160797,467250,0
73160797,3175168,0
73160800,467250,0
73160800,2544685,0
73160814,6200033,0
73160814,278188,0
73160817,6200033,0
73160817,6200083,0
73160820,6200033,0
73160820,1334266,0
73160823,6200033,0
73160823,6200128,0
73160824,6200033,0
73160824,3859346,0
73160825,6200033,0
73160825,4287641,0
73160828,6200033,0
73160828,1000620,0
73160843,3859346,0
73160843,6018563,0
73160846,3859346,0
73160846,1000620,0
73160861,4725805,0
73160861,1750405,0
73160864,4725805,0
73160864,9655820,0
73160865,4725805,0
73160865,1000620,0
73160880,4287641,0
73160880,4287720,0
73160883,4287641,0
73160883,4287679,0
73160886,4287641,0
73160886,4287680,0
73160889,4287641,0
73160889,3859346,0
73160890,4287641,0
73160890,4725805,0
73160892,4287641,0
73160892,1000620,0
73160907,1000620,0
73160907,2747984,0
73160910,1000620,0
73160910,8135785,0
73160924,4076829,0
73160924,3011399,0
73160927,4076829,0
73160927,2623340,0
73160930,4076829,0
73160930,2633252,0
