src,dest,batch
4169879,65476700,0
4169879,73160522,0
14951735,65741575,0
14951735,73160562,0
822680,63690303,0
822680,73160594,0
2480681,61575728,0
2480681,73160631,0
726565,67711263,0
726565,73160655,0
6970734,63115144,0
6970734,73160684,0
3175168,58891462,0
3175168,73160709,0
2138765,67239279,0
2138765,73160731,0
2544685,72023401,0
2544685,73160743,0
4159094,59373749,0
4159094,73160762,0
467250,67735459,0
467250,73160792,0
6200033,60157630,0
6200033,73160813,0
3859346,73160841,0
3859346,73160842,0
4725805,68157369,0
4725805,73160858,0
4287641,59026924,0
4287641,73160878,0
1000620,62213473,0
1000620,73160905,0
4076829,66627014,0
4076829,73160923,0
2465610,60242203,0
2465610,73160961,0
1278289,73160982,0
1278289,73160983,0
7119260,61472023,0
7119260,73161010,0
585096,59918039,0
585096,73161040,0
3349502,66109631,0
3349502,73161056,0
8565526,69060342,0
8565526,73161076,0
782070,62891400,0
782070,73161108,0
2071491,64626644,0
2071491,73161136,0
4596962,60311400,0
4596962,73161162,0
5984742,66456899,0
5984742,73161186,0
6052308,66478457,0
6052308,73161213,0
1124010,59750954,0
1124010,73161237,0
598840,62481558,0
598840,73161248,0
2153579,58957312,0
2153579,73161277,0
1477108,68747468,0
1477108,73161315,0
3475601,66723578,0
3475601,73161343,0
5372964,64702894,0
5372964,73161365,0
821598,61011814,0
821598,73161397,0
21421437,58805167,0
21421437,73161428,0
1354687,58946180,0
1354687,73161458,0
2556960,60154186,0
2556960,73161469,0
1212691,59092629,0
1212691,73161492,0
1332242,58924153,0
1332242,73161515,0
1332276,59860822,0
1332276,73161535,0
3086192,63532902,0
3086192,73161554,0
175659,61613125,0
175659,73161574,0
1327191,68044863,0
1327191,73161601,0
3369032,60746577,0
3369032,73161615,0
3026192,65735816,0
3026192,73161627,0
2326067,59316376,0
2326067,73161669,0
1317118,68365059,0
1317118,73161702,0
201914,58912861,0
201914,73161725,0
5502017,60320917,0
5502017,73161750,0
1730198,59312944,0
1730198,73161771,0
16834287,59746440,0
16834287,73161789,0
7822348,66994272,0
7822348,73161802,0
961774,58879908,0
961774,73161817,0
5665000,70177225,0
