src,dest,batch
4169879,73160523,0
4169879,73160524,0
14951735,73160523,0
14951735,73160563,0
14951735,73160564,0
14951735,73160524,0
822680,73160595,0
822680,73160523,0
822680,73160596,0
822680,73160564,0
2480681,73160523,0
2480681,73160632,0
2480681,73160633,0
2480681,73160634,0
726565,73160523,0
6970734,73160523,0
6970734,73160686,0
6970734,73160634,0
3175168,73160523,0
3175168,73160686,0
3175168,73160710,0
2138765,73160523,0
2138765,73160686,0
2138765,73160710,0
2138765,58750385,0
2138765,73160634,0
2544685,73160523,0
2544685,73160596,0
2544685,73160710,0
4159094,73160763,0
4159094,73160764,0
4159094,73160595,0
4159094,58751284,0
4159094,73160765,0
467250,73160763,0
467250,58749897,0
467250,73160523,0
467250,73160632,0
467250,73160793,0
467250,73160634,0
6200033,73160763,0
6200033,73160523,0
6200033,73160632,0
6200033,73160634,0
3859346,73160763,0
4725805,73160763,0
4725805,58749897,0
4725805,73160793,0
4725805,73160633,0
4725805,73160859,0
4725805,73160632,0
4725805,73160564,0
4725805,73160860,0
4725805,73160634,0
4287641,73160879,0
1000620,73160879,0
1000620,73160596,0
1000620,73160524,0
4076829,73160634,0
4076829,58750385,0
2465610,58750385,0
1278289,58750385,0
7119260,58750385,0
585096,58750385,0
3349502,58750385,0
8565526,73160686,0
782070,73160686,0
2071491,73160686,0
4596962,73160596,0
4596962,73160686,0
4596962,73160634,0
5984742,73160686,0
6052308,73160686,0
6052308,58750385,0
1124010,73160686,0
598840,73160632,0
2153579,73160595,0
2153579,73160686,0
1477108,73160595,0
1477108,73160686,0
3475601,73160595,0
3475601,73160596,0
3475601,73160686,0
5372964,73160859,0
5372964,73160524,0
821598,73160859,0
21421437,73161429,0
21421437,73160859,0
1354687,73161429,0
1354687,73160879,0
1354687,73160634,0
1354687,73160859,0
2556960,73161429,0
2556960,73160859,0
1212691,73161429,0
1212691,73161493,0
1212691,73160879,0
1212691,73160634,0
1212691,73160859,0
1332242,73160859,0
1332276,73160859,0
3086192,73160859,0
175659,73160879,0
175659,73160859,0
175659,73160524,0
1327191,73160859,0
3369032,73161429,0
3369032,73160859,0
3369032,73161493,0
3026192,73161628,0
3026192,73161629,0
3026192,73160524,0
2326067,73161629,0
2326067,73161429,0
2326067,73161493,0
1317118,73161629,0
1317118,73161493,0
201914,73161629,0
5502017,73160764,0
5502017,73161628,0
5502017,73160596,0
5502017,73161629,0
1730198,73161629,0
16834287,73161629,0
7822348,58750385,0
7822348,73160564,0
7822348,73160596,0
7822348,73161629,0
7822348,73160860,0
7822348,73160524,0
961774,73160879,0
961774,73161629,0
5665000,73161841,0
3115211,73161841,0
3115211,73161881,0
9946318,73161841,0
1896453,73161841,0
2006562,73161841,0
2006562,73161881,0
2006562,73161629,0
2006562,73160860,0
7160428,73161429,0
7160428,73161493,0
7160428,73161841,0
7160428,73161629,0
2879108,73161429,0
2879108,73161493,0
2879108,73161841,0
2879108,73161629,0
954229,73161841,0
954229,73161629,0
954229,73161493,0
1267301,73161841,0
1267301,73160859,0
1267301,73161493,0
14126468,73161429,0
14126468,73161493,0
14126468,73160879,0
14126468,73161841,0
14126468,73160859,0
464375,73161841,0
464375,73161429,0
4239157,73161429,0
4239157,73161493,0
4239157,73161841,0
