src,dest,batch
73160552,73160559,0
73160582,73160591,0
73160623,73160559,0
73160647,73160559,0
73160698,73160707,0
73160722,73160728,0
73160753,73160559,0
73160784,73160728,0
73160803,73160811,0
73160831,73160591,0
73160868,73160559,0
73160895,73160902,0
73160913,73160707,0
73160951,73160959,0
73161029,73161037,0
73161047,73160728,0
73161126,73161133,0
73161152,73161160,0
73161177,73161184,0
73161205,73160559,0
73161226,73161235,0
73161242,73160559,0
73161267,73160591,0
73161304,73161312,0
73161335,73160728,0
73161355,73160728,0
73161388,73160728,0
73161416,73161425,0
73161449,73161456,0
73161462,73160559,0
73161504,73161511,0
73161528,73160591,0
73161546,73160728,0
73161564,73161572,0
73161591,73161037,0
73161606,73160559,0
73161616,73161624,0
73161661,73160728,0
73161691,73161699,0
73161715,73161722,0
73161739,73161747,0
73161765,73160728,0
73161779,73161787,0
73161794,73161801,0
73161810,73160728,0
73161829,73161837,0
73161872,73160516,0
73161899,73161835,0
73161920,73161929,0
73161979,73160728,0
73162021,73160559,0
73162040,73160559,0
73162059,73160728,0
73162116,73161835,0
73162143,73160728,0
73162158,73161747,0
73162175,73161835,0
73162216,73160559,0
73162237,73160838,0
73162264,73160902,0
73162284,73161624,0
73162311,73160681,0
73162339,73161233,0
73162362,73161133,0
73162389,73160957,0
73162413,73160559,0
73162429,73161747,0
73162439,73160728,0
73162460,73160728,0
73162483,73160728,0
73162501,73161572,0
73162563,73160728,0
73162595,73160728,0
73162641,73160559,0
73162668,73160559,0
73162692,73160728,0
73162724,73161624,0
73162779,73162094,0
73162799,73160559,0
73162839,73160559,0
73162872,73162878,0
73162889,73160559,0
73162920,73160728,0
73162949,73160838,0
73162968,73161184,0
73162985,73161312,0
73163043,73163049,0
73163069,73163074,0
73163085,73163090,0
73163094,73162243,0
73163118,73163125,0
73163147,73160559,0
73163156,73160559,0
73163168,73161597,0
73163186,73161699,0
73163231,73163237,0
73163256,73161423,0
73163276,73161699,0
73163292,73162878,0
73163312,73160559,0
73163335,73161312,0
73163354,73161312,0
73163365,73161597,0
73163379,73162990,0
73163411,73160728,0
73163431,73160811,0
73163492,73160728,0
73163531,73161423,0
73163553,73163559,0
73163583,73161312,0
73163644,73163652,0
73163704,73162878,0
73163723,73160728,0
73163747,73161310,0
73163816,73161235,0
73163849,73160920,0
73163879,73160920,0
73163942,73161037,0
73163975,73160728,0
73164009,73161133,0
73164039,73160809,0
73164070,73160728,0
73164102,73160728,0
73164152,73162435,0
