src,dest,batch
73160525,73160527,0
73160528,73160530,0
73160531,72536403,0
73160532,73160534,0
73160535,73160536,0
73160537,73160539,0
73160540,73160542,0
73160543,73160544,0
73160545,73160547,0
73160548,73046837,0
73160549,73160551,0
73160565,73160566,0
73160567,73160569,0
73160570,73160571,0
73160572,73160574,0
73160575,27992639,0
73160576,73160578,0
73160579,73160581,0
73160597,73160599,0
73160600,73160602,0
73160603,73160605,0
73160606,73160608,0
73160609,73160611,0
73160612,73160614,0
73160615,73160616,0
73160617,73160619,0
73160620,73160622,0
73160635,73160637,0
73160638,73160639,0
73160640,73160642,0
73160643,72696304,0
73160644,20959465,0
73160645,73123293,0
73160656,73160658,0
73160659,73160661,0
73160662,73160664,0
73160665,73160666,0
73160667,73160669,0
73160670,73160672,0
73160673,72925983,0
73160687,73160689,0
73160690,73160692,0
73160693,73160694,0
73160695,73160697,0
73160711,73160712,0
73160713,73160715,0
73160716,73160717,0
73160718,73160720,0
73160721,73022139,0
73160732,73160734,0
73160744,73160746,0
73160747,73160749,0
73160750,73160752,0
73160766,73160768,0
73160769,73081224,0
73160770,73160772,0
73160773,73160774,0
73160775,73141218,0
73160776,73160777,0
73160778,73160780,0
73160781,73160783,0
73160794,73160796,0
73160797,73160799,0
73160800,73160802,0
73160814,73160816,0
73160817,73160819,0
73160820,73160822,0
73160823,41011589,0
73160824,72706299,0
73160825,73160827,0
73160828,73160830,0
73160843,73160845,0
73160846,73160848,0
73160861,73160863,0
73160864,72905865,0
73160865,73160867,0
73160880,73160882,0
73160883,73160885,0
73160886,73160888,0
73160889,45685834,0
73160890,73160891,0
73160892,73160894,0
73160907,73160909,0
73160910,73160912,0
73160924,73160926,0
73160927,73160929,0
73160930,73160932,0
73160933,73160935,0
73160936,73160937,0
73160938,73124733,0
73160939,73160941,0
73160942,73160944,0
73160945,73160947,0
73160948,73160950,0
73160962,73160964,0
73160965,73160966,0
73160967,73160969,0
73160970,73160971,0
73160972,72294163,0
73160984,73160986,0
73160987,73160988,0
73160989,73160990,0
73160991,73160993,0
73160994,73160996,0
73160997,73160999,0
73161000,73161002,0
73161012,73161013,0
73161014,73161016,0
73161017,73161019,0
73161020,73161022,0
73161023,73161025,0
73161026,73161028,0
73161041,73161043,0
73161044,73161046,0
73161057,73161059,0
73161060,73161062,0
73161063,73161065,0
73161066,73161068,0
73161077,73161079,0
73161080,73161082,0
73161083,73161085,0
73161086,73161088,0
73161089,73161091,0
73161092,72768120,0
73161093,73161095,0
73161096,73161098,0
73161109,73161111,0
73161112,73161113,0
73161114,73161116,0
73161117,73161119,0
73161120,73161121,0
73161122,72573459,0
73161123,73161125,0
73161137,73161139,0
73161140,73161142,0
73161143,72959540,0
73161145,73161147,0
73161148,73161150,0
73161151,73061194,0
73161163,72571695,0
73161164,73161166,0
73161167,73161169,0
73161170,73161172,0
73161173,29196665,0
73161174,73161176,0
73161187,73161189,0
73161190,73161192,0
73161193,73161195,0
73161196,73161198,0
73161199,73161201,0
73161202,73161204,0
73161214,72496648,0
73161215,73161217,0
73161218,72236616,0
73161219,73161221,0
73161222,73161223,0
73161224,73161225,0
73161238,73161240,0
73161241,72780296,0
73161249,73161251,0
73161252,72724855,0
73161253,73161254,0
73161255,72573120,0
73161256,73161258,0
73161261,73161263,0
73161264,73161266,0
73161278,73161280,0
73161281,72911086,0
73161282,73161284,0
73161285,73161286,0
73161287,73161289,0
73161290,73161292,0
73161293,73161295,0
73161296,73161297,0
73161298,73161300,0
73161301,73161303,0
73161316,73161318,0
73161319,73161321,0
73161322,73161324,0
73161325,73161327,0
73161328,73161330,0
73161331,72517923,0
73161332,73161334,0
73161344,73161345,0
73161346,73161348,0
73161349,73161351,0
73161352,73161354,0
73161366,73161368,0
73161369,73161371,0
73161372,73161374,0
73161375,73161376,0
73161377,73161379,0
73161380,73161382,0
73161383,73161384,0
73161398,73161400,0
73161401,73161403,0
73161404,73161406,0
73161407,73161409,0
73161410,73161411,0
73161412,73139515,0
73161414,73161415,0
73161430,73161432,0
73161436,73161438,0
73161439,73161441,0
73161442,44576653,0
73161443,73161445,0
73161446,73161448,0
73161459,73161461,0
73161470,73161472,0
73161473,73161475,0
