src,dest,batch
131094,131095,0
131097,131095,0
131103,131095,0
131105,131095,0
131109,131095,0
131121,131125,0
131142,131125,0
131149,131125,0
131151,131125,0
131153,131125,0
131159,131125,0
131163,131125,0
131165,131125,0
131167,131125,0
131172,131125,0
131174,131125,0
131179,131125,0
131181,131125,0
131183,131125,0
131185,131125,0
131421,131425,0
131432,131425,0
131435,131425,0
131438,131425,0
131440,131425,0
131444,131425,0
131446,131425,0
131448,131425,0
131450,131425,0
131452,131425,0
131454,131425,0
131456,131425,0
131458,131425,0
131462,131425,0
131466,131425,0
131468,131425,0
131471,131425,0
131473,131425,0
131477,131425,0
131492,131493,0
131495,131493,0
131497,131493,0
131500,131493,0
131505,131493,0
131507,131493,0
131509,131493,0
131511,131493,0
131515,131493,0
131517,131493,0
131519,131493,0
131525,131493,0
131531,131534,0
131543,131534,0
131545,131534,0
131551,131534,0
131560,131534,0
131563,131534,0
131564,131425,0
131568,131534,0
131569,131425,0
131573,131534,0
131574,131425,0
131576,131534,0
131577,131425,0
131580,131534,0
131581,131425,0
131585,131425,0
131587,131534,0
131590,131534,0
131591,131425,0
131593,131534,0
131596,131534,0
131600,131425,0
131602,131534,0
131603,131425,0
131605,131534,0
131606,131425,0
131608,131534,0
131609,131425,0
131611,131534,0
131612,131425,0
131614,131534,0
131615,131425,0
131617,131534,0
131620,131534,0
131621,131425,0
131623,131534,0
131624,131425,0
131626,131534,0
131627,131425,0
131629,131534,0
131630,131425,0
131633,131425,0
131638,131534,0
131639,131425,0
131641,131534,0
131644,131534,0
131645,131425,0
131647,131425,0
131650,131425,0
131652,131425,0
131656,131425,0
131660,131425,0
131664,131425,0
131668,131425,0
131670,131425,0
131672,131425,0
131676,131425,0
131678,131425,0
131680,131425,0
131682,131425,0
131684,131425,0
131686,131425,0
131692,131425,0
131702,131425,0
131706,131425,0
131710,131425,0
131712,131425,0
131716,131425,0
131732,131425,0
131734,131425,0
131738,131425,0
131740,131425,0
131742,131425,0
131744,131425,0
131746,131425,0
131750,131425,0
131763,131425,0
131768,131425,0
131775,131425,0
131780,131425,0
131782,131786,0
131790,131786,0
131795,131425,0
131797,131786,0
131798,131425,0
131800,131786,0
131804,131425,0
131806,131786,0
131807,131425,0
131809,131786,0
131810,131425,0
131812,131786,0
131815,131786,0
131816,131425,0
131821,131425,0
131823,131425,0
131829,131833,0
131840,131833,0
131845,131833,0
131847,131833,0
131849,131833,0
131851,131833,0
131855,131833,0
131857,131833,0
131859,131833,0
131861,131833,0
131865,131833,0
131867,131833,0
131869,131833,0
131871,131833,0
131873,131833,0
131875,131833,0
131877,131833,0
131879,131833,0
131881,131833,0
131883,131833,0
131885,131833,0
131890,131833,0
131892,131833,0
131894,131833,0
131896,131833,0
131898,131833,0
131900,131833,0
131938,131786,0
131940,131786,0
131942,131786,0
131944,131786,0
131949,131786,0
131951,131786,0
131953,131786,0
131955,131786,0
131957,131786,0
131961,131786,0
131964,131786,0
131966,131786,0
131973,131786,0
131975,131786,0
131982,131786,0
131984,131786,0
131986,131786,0
131991,131786,0
131993,131786,0
131995,131786,0
131997,131786,0
131999,131786,0
132001,131786,0
132003,131786,0
132005,131786,0
132175,131493,0
132185,131493,0
132191,131493,0
132194,131493,0
132198,131493,0
132201,131493,0
132204,131493,0
132207,131493,0
132210,131493,0
132216,131493,0
132222,131493,0
132223,131493,0
132229,131493,0
132231,131493,0
132233,131493,0
132237,131493,0
132239,131493,0
132241,131493,0
132270,132271,0
132278,132271,0
132281,132271,0
132284,132271,0
132286,132271,0
132288,132271,0
132290,132271,0
132294,132271,0
132296,132271,0
132298,132271,0
132300,132271,0
132304,132271,0
132308,132271,0
132312,132271,0
132314,132271,0
132316,132271,0
132320,132271,0
132322,132271,0
132324,132271,0
132326,132271,0
132330,132271,0
132332,132271,0
132334,132271,0
132336,132271,0
132340,132271,0
132342,132271,0
132344,132271,0
132346,132271,0
132348,132271,0
132350,132271,0
132354,132271,0
132356,132271,0
132403,131493,0
132415,131493,0
132419,131493,0
132421,131493,0
132423,131493,0
132425,131493,0
132430,131493,0
132432,131493,0
132434,131493,0
132436,131493,0
132438,131493,0
132440,131493,0
132442,131493,0
132444,131493,0
132447,131493,0
132449,131493,0
132451,131493,0
132458,131493,0
132460,131493,0
132468,131493,0
132470,131493,0
132472,131493,0
132474,131493,0
132476,131493,0
132478,131493,0
132480,131493,0
132482,131493,0
132531,131534,0
132548,131534,0
132560,131534,0
132566,131534,0
132569,131534,0
132572,131534,0
132575,131534,0
132578,131534,0
132580,131534,0
132582,131534,0
132584,131534,0
132651,132271,0
132659,132271,0
132661,132271,0
132663,132271,0
132717,131095,0
132729,131095,0
132732,131095,0
132734,131095,0
132736,131095,0
132740,131095,0
132742,131095,0
132744,131095,0
132746,131095,0
132748,131095,0
132750,131095,0
132754,131095,0
132756,131095,0
132758,131095,0
132760,131095,0
132762,131095,0
132764,131095,0
132766,131095,0
132770,131095,0
132772,131095,0
132774,131095,0
132776,131095,0
132778,131095,0
132780,131095,0
132782,131095,0
132784,131095,0
132786,131095,0
133138,131095,0
133151,131095,0
133154,131095,0
133160,131095,0
133166,131095,0
133169,131095,0
133172,131095,0
133175,131095,0
133469,131493,0
133476,131493,0
133479,131493,0
133483,131493,0
133489,131493,0
133492,131493,0
133496,131493,0
133502,131493,0
133509,131493,0
133528,131493,0
133535,131493,0
133539,131493,0
133543,131493,0
133550,131493,0
133552,131493,0
133555,131493,0
133558,131493,0
133564,131493,0
133583,132271,0
133596,132271,0
133598,132271,0
133600,132271,0
133602,132271,0
133606,132271,0
133608,132271,0
133610,132271,0
133612,132271,0
133617,132271,0
133619,132271,0
133621,132271,0
133625,132271,0
133633,132271,0
133635,132271,0
133637,132271,0
133640,132271,0
133642,132271,0
133644,132271,0
133646,132271,0
133648,132271,0
133650,132271,0
133652,132271,0
133654,132271,0
133656,132271,0
133658,132271,0
133660,132271,0
133662,132271,0
133666,132271,0
133668,132271,0
133670,132271,0
133672,132271,0
133674,132271,0
133676,132271,0
133680,132271,0
133682,132271,0
133684,132271,0
133690,131493,0
133699,131493,0
133701,131493,0
133703,131493,0
133705,131493,0
133707,131493,0
133709,131493,0
133713,131493,0
133715,131493,0
133717,131493,0
133719,131493,0
133721,131493,0
133723,131493,0
133727,131493,0
