src,dest,batch
73160508,131083,0
73160552,131293,0
73160582,131083,0
73160623,131126,0
73160647,131293,0
73160674,131126,0
73160698,131083,0
73160722,131083,0
73160735,131126,0
73160753,131126,0
73160784,131126,0
73160803,131126,0
73160831,131083,0
73160849,131083,0
73160868,131293,0
73160895,131083,0
73160913,131126,0
73160951,131083,0
73160973,131126,0
73161003,131293,0
73161029,131126,0
73161047,131293,0
73161069,131293,0
73161099,131083,0
73161126,131293,0
73161152,131293,0
73161177,131293,0
73161205,131126,0
73161226,131126,0
73161242,131083,0
73161267,131083,0
73161304,131293,0
73161335,131083,0
73161355,131083,0
73161388,131293,0
73161416,131126,0
73161449,131083,0
73161462,131126,0
73161485,131293,0
73161504,131083,0
73161528,131293,0
73161546,131126,0
73161564,131177,0
73161591,131293,0
73161606,131083,0
73161616,131083,0
73161661,131126,0
73161691,131126,0
73161715,131293,0
73161739,131083,0
73161765,131126,0
73161779,131293,0
73161794,131126,0
73161810,132081,0
73161829,131126,0
73161872,131126,0
73161899,131293,0
73161920,131293,0
73161947,131083,0
73161979,131126,0
73162000,131293,0
73162021,131126,0
73162040,131083,0
73162059,131083,0
73162089,131293,0
73162116,131083,0
73162143,131293,0
73162158,131126,0
73162175,131293,0
73162202,131083,0
73162216,131083,0
73162237,131083,0
73162264,131083,0
73162284,131083,0
73162311,131126,0
73162339,131126,0
73162362,131293,0
73162389,131293,0
73162413,131126,0
73162429,131126,0
73162439,131126,0
73162460,131126,0
73162483,131083,0
73162501,131177,0
73162530,131177,0
73162553,131126,0
73162563,131126,0
73162595,131083,0
73162620,131083,0
73162641,131126,0
73162668,131083,0
73162692,131126,0
73162724,131293,0
73162745,131126,0
73162779,131126,0
73162799,131293,0
73162817,131126,0
73162839,131126,0
73162872,131126,0
73162889,131293,0
73162920,131126,0
73162949,131293,0
73162968,131126,0
73162985,131083,0
73163022,131126,0
73163043,131126,0
73163069,131126,0
73163085,131126,0
73163094,131126,0
73163118,131126,0
73163147,131293,0
73163156,131293,0
73163168,132081,0
73163186,131083,0
73163218,131083,0
73163231,131083,0
73163256,131126,0
73163276,132081,0
73163292,131293,0
73163312,131293,0
73163335,131126,0
73163354,131293,0
73163365,132081,0
73163379,131083,0
73163399,131126,0
73163411,131126,0
73163431,131083,0
73163454,131293,0
73163474,131083,0
73163492,131083,0
73163531,131126,0
73163553,131126,0
73163583,131126,0
73163612,131293,0
73163644,131293,0
73163675,131126,0
73163704,131293,0
73163723,131126,0
73163747,131126,0
73163779,131126,0
73163816,131126,0
73163849,131126,0
73163879,131083,0
73163909,131083,0
73163942,131293,0
73163975,132081,0
73164009,131293,0
73164039,131083,0
73164070,131083,0
73164102,131126,0
73164118,132081,0
73164152,131293,0
131077,131083,0
131092,131083,0
131094,131083,0
131097,131083,0
131099,131083,0
131101,131083,0
131103,131083,0
131105,131083,0
131107,131083,0
131109,131083,0
131111,131083,0
131113,131083,0
131115,131083,0
131121,131126,0
131135,131126,0
131137,131126,0
131142,131126,0
131144,131126,0
131149,131126,0
131151,131126,0
131153,131126,0
131155,131126,0
131157,131126,0
131159,131126,0
131161,131126,0
131163,131126,0
131165,131126,0
131167,131126,0
131172,131126,0
131174,131126,0
131176,131177,0
131179,131126,0
131181,131126,0
131183,131126,0
131185,131126,0
131191,131083,0
131201,131083,0
131203,131083,0
131205,131083,0
131207,131083,0
131209,131083,0
131211,131083,0
131213,131083,0
131215,131083,0
131217,131083,0
131223,131126,0
131234,131126,0
131239,131126,0
131241,131126,0
131244,131126,0
131246,131126,0
131248,131126,0
131252,131126,0
131254,131126,0
131256,131126,0
131258,131126,0
131260,131126,0
131262,131126,0
131264,131126,0
131266,131126,0
131268,131126,0
131270,131126,0
131272,131126,0
131274,131126,0
131276,131126,0
131278,131126,0
131280,131126,0
131282,131126,0
131284,131126,0
131286,131126,0
131288,131126,0
131290,131126,0
131292,131293,0
131295,131126,0
131297,131126,0
131299,131126,0
131301,131126,0
131303,131126,0
131305,131126,0
131311,131293,0
131320,131293,0
131325,131293,0
131327,131293,0
131329,131293,0
131331,131293,0
131333,131293,0
131335,131293,0
131337,131293,0
131342,131293,0
131344,131293,0
131346,131293,0
131348,131293,0
131350,131293,0
131352,131293,0
131354,131293,0
131356,131293,0
131361,131083,0
131373,131083,0
131375,131083,0
131377,131083,0
131379,131083,0
131381,131177,0
131383,131083,0
131385,131083,0
131387,131083,0
131389,131083,0
131391,131083,0
131396,131083,0
131398,131083,0
131400,131083,0
131402,131083,0
131407,131083,0
131409,131083,0
131411,131083,0
131413,131083,0
131415,131083,0
131421,131293,0
131432,131293,0
131435,131293,0
131438,131293,0
131440,131293,0
131442,131293,0
131444,131293,0
131446,131293,0
131448,131293,0
131450,131293,0
131452,131293,0
131454,131293,0
131456,131293,0
131458,131293,0
131460,131293,0
131462,131293,0
131464,131293,0
131466,131293,0
131468,131293,0
131471,131293,0
131473,131293,0
131475,131293,0
131477,131293,0
131483,131126,0
131492,131126,0
131495,131126,0
131497,131126,0
131500,131126,0
131505,131126,0
131507,131126,0
131509,131126,0
131511,131126,0
131515,131126,0
131517,131126,0
131519,131126,0
131521,131126,0
131523,131126,0
131525,131126,0
131531,131126,0
131543,131126,0
131545,131126,0
131551,131126,0
131552,131083,0
131560,131126,0
131561,131083,0
131563,131126,0
131564,131083,0
131568,131126,0
131569,131083,0
131573,131126,0
131574,131083,0
131576,131126,0
131577,131083,0
131580,131126,0
131581,131083,0
131584,131126,0
131585,131083,0
131587,131126,0
131588,131083,0
131590,131126,0
131591,131083,0
131593,131126,0
131594,131083,0
131596,131126,0
131597,131083,0
131599,131126,0
131600,131083,0
131602,131126,0
131603,131083,0
131605,131126,0
131606,131083,0
131608,131126,0
131609,131083,0
131611,131126,0
131612,131083,0
131614,131126,0
131615,131083,0
131617,131126,0
131618,131083,0
131620,131126,0
131621,131083,0
131623,131126,0
131624,131083,0
131626,131126,0
131627,131083,0
131629,131126,0
131630,131083,0
131632,131126,0
131633,131083,0
131635,131126,0
131636,131083,0
131638,131126,0
131639,131083,0
131641,131126,0
131642,131083,0
131644,131126,0
131645,131083,0
131647,131083,0
131650,131083,0
131652,131083,0
131654,131083,0
131656,131083,0
131658,131126,0
131660,131083,0
131662,131126,0
131664,131083,0
131666,131083,0
131668,131083,0
131670,131083,0
131672,131083,0
131674,131083,0
131676,131083,0
131678,131083,0
131680,131083,0
131682,131083,0
131684,131083,0
131686,131083,0
131692,131293,0
131702,131293,0
131706,131293,0
131708,131293,0
131710,131293,0
131712,131293,0
131714,131293,0
131716,131293,0
131721,131293,0
131726,131293,0
131728,131293,0
131730,131293,0
131732,131293,0
131734,131293,0
131736,131293,0
131738,131293,0
131740,131293,0
131742,131293,0
131744,131293,0
131746,131293,0
131748,131293,0
131750,131293,0
131752,131293,0
131754,131293,0
131756,131293,0
131761,131293,0
131763,131293,0
131765,131293,0
131768,131293,0
131770,131293,0
131775,131293,0
131780,131293,0
131782,131126,0
131788,131293,0
131790,131126,0
131795,131293,0
131797,131126,0
131798,131293,0
131800,131126,0
131804,131293,0
131806,131126,0
131807,131293,0
131809,131126,0
131810,131293,0
131812,131126,0
131813,131293,0
131815,131126,0
131816,131293,0
131821,131293,0
131823,131293,0
131829,131083,0
131840,131083,0
131845,131083,0
131847,131083,0
131849,131083,0
131851,131083,0
131853,131083,0
131855,131083,0
131857,131083,0
131859,131083,0
131861,131083,0
131863,131083,0
131865,131083,0
131867,131083,0
131869,131126,0
131871,131083,0
131873,131083,0
131875,131083,0
131877,131083,0
131879,131083,0
131881,131083,0
131883,131083,0
131885,131083,0
131890,131083,0
131892,131083,0
131894,131083,0
131896,131083,0
