src,dest,batch
4169879,27442700,0
14951735,26864992,0
822680,20204507,0
2480681,8357667,0
726565,31428236,0
6970734,13337293,0
3175168,266395,0
2138765,29775882,0
2544685,46174477,0
4159094,2231747,0
467250,31936262,0
6200033,2332739,0
3859346,1219231,0
4725805,40242016,0
4287641,282246,0
1000620,13156913,0
4076829,26723032,0
2465610,5790364,0
1278289,136790,0
7119260,8445972,0
585096,4522317,0
3349502,30715332,0
8565526,44111436,0
782070,12853250,0
2071491,19468408,0
4596962,5803954,0
5984742,27136976,0
6052308,27150971,0
1124010,2356810,0
598840,14491718,0
2153579,311586,0
1477108,42792648,0
3475601,27049148,0
5372964,20564958,0
821598,8847894,0
21421437,182842,0
1354687,234910,0
2556960,844533,0
1212691,661023,0
1332242,224287,0
1332276,2525474,0
3086192,5626259,0
175659,7911266,0
1327191,31158530,0
3369032,5837125,0
3026192,29307464,0
2326067,2217458,0
1317118,39663103,0
201914,399109,0
5502017,5025351,0
1730198,2161555,0
16834287,2660312,0
7822348,28337673,0
961774,166284,0
5665000,40229149,0
3115211,4411600,0
9946318,39800683,0
1896453,2501809,0
2006562,21305152,0
7160428,5419445,0
2879108,5762827,0
954229,9680723,0
1267301,21778963,0
14126468,9225830,0
464375,43929209,0
4239157,19415815,0
10675370,4865590,0
40451535,2389751,0
1707839,20991964,0
7847002,19197486,0
16195291,41439130,0
634589,3031852,0
7463589,1251977,0
808908,21616152,0
1783415,45523363,0
1636069,186503,0
445734,192457,0
1905900,15118731,0
1335723,1201567,0
969104,45996894,0
1533067,193942,0
4646892,1240980,0
1941802,9055300,0
896346,7860757,0
2079120,27970377,0
790311,5314460,0
396207,7706825,0
5036106,21687209,0
1584215,9289920,0
3765461,2529425,0
583563,908649,0
3663906,5546893,0
10415405,19411675,0
4148587,4533108,0
9035314,142586,0
3292028,12740512,0
10276418,9003981,0
1348990,20687364,0
12070567,42192641,0
2741661,2538400,0
1557626,5539039,0
910321,12336648,0
7960577,8122996,0
560929,403637,0
6695277,2336543,0
9171814,29268837,0
205417,7961936,0
1072303,169792,0
1552711,21448847,0
4788207,9324141,0
7168124,4816658,0
2802551,4528018,0
3341250,2875813,0
3561244,21206085,0
755422,5908235,0
491145,44925572,0
4137521,21309608,0
4730958,30190433,0
3456240,8588709,0
197869,151663,0
1443216,1003959,0
448878,46240598,0
5517951,20263211,0
1322799,8061410,0
5113450,2791372,0
2525923,915071,0
7138036,2218944,0
3570031,2115046,0
3605474,832239,0
862656,2686659,0
362922,433574,0
1294742,5007803,0
2796204,2244910,0
5544386,9222406,0
7148983,27176124,0
1172992,683912,0
6311038,2071610,0
1338166,2743317,0
2908598,45684331,0
3845439,14507670,0
5695529,41770905,0
1810889,12999852,0
2228881,5137964,0
394976,21535670,0
14961302,20067663,0
3556350,989302,0
6128988,4893091,0
343692,30301953,0
1504838,1241639,0
12533211,5185516,0
273998,42674706,0
