src,dest,batch
131077,131080,0
131092,131080,0
131094,131080,0
131097,131080,0
131099,131080,0
131101,131080,0
131103,131080,0
131105,131080,0
131107,131080,0
131109,131080,0
131111,131080,0
131113,131080,0
131115,131080,0
131121,131122,0
131135,131122,0
131137,131138,0
131142,131122,0
131144,131145,0
131149,131122,0
131151,131122,0
131153,131122,0
131155,131122,0
131157,131122,0
131159,131122,0
131161,131122,0
131163,131122,0
131165,131122,0
131167,131168,0
131172,131122,0
131174,131122,0
131176,131122,0
131179,131168,0
131181,131122,0
131183,131122,0
131185,131122,0
131191,131192,0
131201,131192,0
131203,131192,0
131205,131192,0
131207,131192,0
131209,131192,0
131211,131192,0
131213,131192,0
131215,131192,0
131217,131192,0
131223,131224,0
131234,131235,0
131239,131235,0
131241,131224,0
131244,131235,0
131246,131235,0
131248,131235,0
131252,131235,0
131254,131235,0
131256,131235,0
131258,131235,0
131260,131235,0
131262,131235,0
131264,131235,0
131266,131235,0
131268,131235,0
131270,131224,0
131272,131235,0
131274,131235,0
131276,131235,0
131278,131224,0
131280,131235,0
131282,131224,0
131284,131235,0
131286,131235,0
131288,131235,0
131290,131224,0
131292,131235,0
131295,131235,0
131297,131224,0
131299,131235,0
131301,131235,0
131303,131235,0
131305,131235,0
131311,131312,0
131320,131312,0
131325,131312,0
131327,131312,0
131329,131312,0
131331,131312,0
131333,131312,0
131335,131312,0
131337,131338,0
131342,131312,0
131344,131312,0
131346,131312,0
131348,131312,0
131350,131312,0
131352,131312,0
131354,131312,0
131356,131312,0
131361,131362,0
131373,131362,0
131375,131362,0
131377,131362,0
131379,131362,0
131381,131362,0
131383,131362,0
131385,131362,0
131387,131362,0
131389,131362,0
131391,131392,0
131396,131362,0
131398,131362,0
131400,131362,0
131402,131403,0
131407,131362,0
131409,131362,0
131411,131362,0
131413,131362,0
131415,131362,0
131421,131422,0
131432,131422,0
131435,131422,0
131438,131422,0
131440,131422,0
131442,131422,0
131444,131422,0
131446,131422,0
131448,131422,0
131450,131422,0
131452,131422,0
131454,131422,0
131456,131422,0
131458,131422,0
131460,131422,0
131462,131422,0
131464,131422,0
131466,131422,0
131468,131422,0
