src,dest,batch
4169879,3274058,0
4169879,410917,0
4169879,1555228,0
4169879,1486892,0
4169879,4169845,0
4169879,12720391,0
4169879,822680,0
4169879,2480681,0
4169879,726565,0
4169879,6970734,0
4169879,2138765,0
4169879,2544685,0
14951735,9729790,0
14951735,1884588,0
14951735,1884587,0
14951735,410913,0
14951735,1188601,0
14951735,2106768,0
14951735,822680,0
14951735,2480681,0
14951735,726565,0
14951735,6970734,0
14951735,3175168,0
14951735,2138765,0
14951735,2544685,0
822680,463591,0
822680,463590,0
822680,822668,0
822680,3442335,0
822680,3455784,0
822680,8440976,0
822680,2410145,0
822680,6197632,0
822680,4169879,0
822680,14951735,0
822680,2480681,0
822680,726565,0
822680,3175168,0
822680,2138765,0
2480681,9497030,0
2480681,8481772,0
2480681,7174689,0
2480681,2148396,0
2480681,4169879,0
2480681,14951735,0
2480681,822680,0
2480681,6970734,0
2480681,3175168,0
726565,4349273,0
726565,1038496,0
726565,4086331,0
726565,504314,0
726565,726542,0
726565,3481970,0
726565,6338073,0
726565,328396,0
726565,4169879,0
726565,14951735,0
726565,822680,0
726565,3175168,0
726565,2544685,0
726565,4159094,0
6970734,3597508,0
6970734,6970656,0
6970734,3468839,0
6970734,10678951,0
6970734,4169879,0
6970734,14951735,0
6970734,2480681,0
6970734,2544685,0
6970734,4159094,0
3175168,910124,0
3175168,4008821,0
3175168,1832582,0
3175168,799227,0
3175168,4008822,0
3175168,2478762,0
3175168,2603110,0
3175168,4008823,0
3175168,14951735,0
3175168,822680,0
3175168,2480681,0
3175168,726565,0
3175168,4159094,0
3175168,467250,0
2138765,4689884,0
2138765,1378768,0
2138765,4978029,0
2138765,417911,0
2138765,4169879,0
2138765,14951735,0
2138765,822680,0
2544685,9224226,0
2544685,6028135,0
2544685,5292285,0
2544685,18933121,0
2544685,995009,0
2544685,300663,0
2544685,902914,0
2544685,300664,0
2544685,4169879,0
2544685,14951735,0
2544685,726565,0
2544685,6970734,0
2544685,4159094,0
2544685,467250,0
4159094,1868657,0
4159094,208919,0
4159094,1679023,0
4159094,463587,0
4159094,1292829,0
4159094,6216597,0
4159094,726565,0
4159094,6970734,0
4159094,3175168,0
4159094,2544685,0
4159094,467250,0
4159094,6200033,0
467250,6411934,0
467250,12815675,0
467250,467193,0
467250,1037220,0
467250,3175168,0
467250,2544685,0
467250,4159094,0
6200033,2261818,0
6200033,6200082,0
6200033,278188,0
6200033,6200083,0
6200033,1334266,0
6200033,6200128,0
6200033,3646294,0
6200033,3114811,0
6200033,4159094,0
6200033,3859346,0
6200033,4287641,0
6200033,1000620,0
6200033,4076829,0
6200033,2465610,0
3859346,7171992,0
3859346,6018563,0
3859346,3859314,0
3859346,7171993,0
3859346,6200033,0
3859346,4287641,0
3859346,1000620,0
4725805,2068757,0
4725805,9529115,0
4725805,1750405,0
4725805,9655820,0
4725805,4287641,0
4725805,1000620,0
4725805,4076829,0
4725805,2465610,0
4725805,1278289,0
4287641,995703,0
4287641,4287720,0
4287641,4287679,0
4287641,4287680,0
4287641,4287721,0
4287641,3886754,0
4287641,6200033,0
4287641,3859346,0
4287641,4725805,0
4287641,1000620,0
1000620,5042825,0
1000620,14017832,0
1000620,2747984,0
1000620,8135785,0
1000620,1724109,0
1000620,7024775,0
1000620,1000601,0
1000620,1314056,0
1000620,6200033,0
1000620,3859346,0
