src,dest,batch
73160508,28915845,0
73160552,4272921,0
73160582,1382088,0
73160623,3602184,0
73160647,2455772,0
73160674,17734431,0
73160698,562987,0
73160722,994798,0
73160735,334376,0
73160753,1070845,0
73160784,328541,0
73160803,467699,0
73160831,1926238,0
73160849,2325522,0
73160868,236339,0
73160895,1651736,0
73160913,5087952,0
73160951,446758,0
73160973,139314,0
73161003,198014,0
73161029,4743914,0
73161047,270489,0
73161069,3629517,0
73161099,4464743,0
73161126,296076,0
73161152,557541,0
73161177,2919332,0
73161205,333775,0
73161226,5427608,0
73161242,2916472,0
73161267,1087380,0
73161304,4923037,0
73161335,156727,0
73161355,390271,0
73161388,3733644,0
73161416,462546,0
73161449,166768,0
73161462,377985,0
73161485,520744,0
73161504,1332258,0
73161528,477638,0
73161546,667716,0
73161564,985626,0
73161591,339987,0
73161606,6761038,0
73161616,1276324,0
73161661,2582679,0
73161691,321176,0
73161715,201917,0
73161739,3616841,0
73161765,368921,0
73161779,2619009,0
73161794,1626864,0
73161810,492940,0
73161829,2171596,0
73161872,664746,0
73161899,191963,0
73161920,460767,0
73161947,703107,0
73161979,245984,0
73162000,1212408,0
73162021,2199374,0
73162040,5926976,0
73162059,430312,0
73162089,294598,0
73162116,618057,0
73162143,1802372,0
73162158,255804,0
73162175,12774328,0
73162202,7967344,0
73162216,1632300,0
73162237,881284,0
73162264,3478608,0
73162284,3796591,0
73162311,32191874,0
73162339,1636092,0
73162362,445742,0
73162389,1998082,0
73162413,1335745,0
73162429,13515780,0
73162439,1533085,0
73162460,924215,0
73162483,3433470,0
73162501,2623081,0
73162530,1706299,0
73162553,4203830,0
73162563,945135,0
73162595,3899556,0
73162620,1734584,0
73162641,3765489,0
73162668,2364215,0
73162692,335069,0
73162724,531202,0
73162745,1281730,0
73162779,2197701,0
73162799,812667,0
73162817,190779,0
73162839,561154,0
73162872,169986,0
73162889,1141042,0
73162920,2088224,0
73162949,298818,0
73162968,301791,0
73162985,338744,0
73163022,358542,0
73163043,500679,0
73163069,200896,0
73163085,812667,0
73163094,377783,0
73163118,770566,0
73163147,587482,0
73163156,14276613,0
73163168,590005,0
73163186,6353966,0
73163218,658212,0
73163231,1547799,0
73163256,5189693,0
73163276,1043234,0
73163292,9034347,0
73163312,197874,0
73163335,1970980,0
73163354,11260336,0
73163365,12059101,0
73163379,4443750,0
73163399,400745,0
73163411,1662441,0
73163431,3828672,0
73163454,839758,0
73163474,2002959,0
73163492,2324782,0
73163531,556181,0
73163553,5013144,0
73163583,11053998,0
73163612,1589513,0
73163644,585862,0
73163675,3476605,0
73163704,1556287,0
73163723,184652,0
73163747,1314727,0
73163779,870700,0
73163816,166264,0
73163849,163679,0
73163879,7005261,0
73163909,23006262,0
73163942,1811355,0
73163975,3539864,0
73164009,6129028,0
73164039,3077469,0
73164070,1504855,0
73164102,3534661,0
73164118,1778233,0
73164152,1976122,0
131077,131084,0
131092,131084,0
131094,131084,0
131097,131084,0
131099,131084,0
131101,131084,0
131103,131084,0
131105,131084,0
131107,131084,0
131109,131084,0
131111,131084,0
131113,131084,0
131115,131084,0
131121,131127,0
131135,131127,0
131137,131127,0
131142,131127,0
131144,131127,0
131149,131127,0
131151,131127,0
131153,131127,0
131155,131127,0
131157,131127,0
131159,131127,0
131161,131127,0
131163,131127,0
131165,131127,0
131167,131127,0
131172,131127,0
131174,131127,0
131176,131127,0
131179,131127,0
131181,131127,0
131183,131127,0
131185,131127,0
131191,131195,0
131201,131195,0
131203,131195,0
131205,131195,0
131207,131195,0
131209,131195,0
131211,131195,0
131213,131195,0
131215,131195,0
131217,131195,0
131223,131227,0
131234,131227,0
131239,131227,0
131241,131242,0
131244,131227,0
131246,131227,0
131248,131249,0
131252,131227,0
131254,131227,0
131256,131227,0
131258,131227,0
131260,131227,0
131262,131227,0
131264,131227,0
131266,131227,0
131268,131227,0
131270,131227,0
131272,131227,0
131274,131227,0
131276,131227,0
131278,131227,0
131280,131227,0
131282,131227,0
131284,131227,0
131286,131227,0
131288,131227,0
131290,131227,0
131292,131227,0
131295,131227,0
131297,131227,0
131299,131227,0
