src,dest,batch
73160525,73160526,0
73160528,73160529,0
73160531,72269432,0
73160532,73160533,0
73160535,72585434,0
73160537,73160538,0
73160540,73160541,0
73160543,72985498,0
73160545,73160546,0
73160548,72545359,0
73160549,73160550,0
73160565,72876425,0
73160567,73160568,0
73160570,72975161,0
73160572,73160573,0
73160575,29559155,0
73160576,73160577,0
73160579,73160580,0
73160597,73160598,0
73160600,73160601,0
73160603,73160604,0
73160606,73160607,0
73160609,73160610,0
73160612,73160613,0
73160615,72747303,0
73160617,73160618,0
73160620,73160621,0
73160635,73160636,0
73160638,73055331,0
73160640,73160641,0
73160643,12459595,0
73160644,13426904,0
73160645,73160646,0
73160656,73160657,0
73160659,73160660,0
73160662,73160663,0
73160665,72427535,0
73160667,73160668,0
73160670,73160671,0
73160673,72771229,0
73160687,73160688,0
73160690,73160691,0
73160693,72987162,0
73160695,73160696,0
73160711,72720718,0
73160713,73160714,0
73160716,72747872,0
73160718,73160719,0
73160721,30569481,0
73160732,73160733,0
73160744,73160745,0
73160747,73160748,0
73160750,73160751,0
73160766,73160767,0
73160769,73049104,0
73160770,73160771,0
73160773,73015157,0
73160775,72974445,0
73160776,72572461,0
73160778,73160779,0
73160781,73160782,0
73160794,73160795,0
73160797,73160798,0
73160800,73160801,0
73160814,73160815,0
73160817,73160818,0
73160820,73160821,0
73160823,43309006,0
73160824,28686567,0
73160825,73160826,0
73160828,73160829,0
73160843,73160844,0
73160846,73160847,0
73160861,73160862,0
73160864,72218754,0
73160865,73160866,0
73160880,73160881,0
73160883,73160884,0
73160886,73160887,0
73160889,4816618,0
73160890,73046918,0
73160892,73160893,0
73160907,73160908,0
73160910,73160911,0
73160924,73160925,0
73160927,73160928,0
73160930,73160931,0
73160933,73160934,0
73160936,73034709,0
73160938,72737401,0
73160939,73160940,0
73160942,73160943,0
73160945,73160946,0
73160948,73160949,0
73160962,73160963,0
73160965,73004779,0
73160967,73160968,0
73160970,72980266,0
73160972,19381763,0
73160984,73160985,0
73160987,72966123,0
73160989,44178918,0
73160991,73160992,0
73160994,73160995,0
73160997,73160998,0
73161000,73161001,0
73161012,72858832,0
73161014,73161015,0
73161017,73161018,0
73161020,73161021,0
73161023,73161024,0
73161026,73161027,0
73161041,73161042,0
73161044,73161045,0
73161057,73161058,0
73161060,73161061,0
73161063,73161064,0
73161066,73161067,0
73161077,73161078,0
73161080,73161081,0
73161083,73161084,0
73161086,73161087,0
73161089,73161090,0
73161092,72196706,0
73161093,73161094,0
73161096,73161097,0
73161109,73161110,0
73161112,73047957,0
73161114,73161115,0
73161117,73161118,0
73161120,21078525,0
73161122,72131308,0
73161123,73161124,0
73161137,73161138,0
73161140,73161141,0
73161143,73161144,0
73161145,73161146,0
73161148,73161149,0
73161151,72533170,0
73161163,19523468,0
73161164,73161165,0
73161167,73161168,0
73161170,73161171,0
73161173,4684354,0
73161174,73161175,0
73161187,73161188,0
73161190,73161191,0
73161193,73161194,0
73161196,73161197,0
73161199,73161200,0
73161202,73161203,0
73161214,72179884,0
73161215,73161216,0
73161218,72140542,0
73161219,73161220,0
73161222,73150993,0
73161224,72994011,0
73161238,73161239,0
73161241,44912995,0
73161249,73161250,0
73161252,22019112,0
73161253,73097776,0
73161255,28166907,0
73161256,73161257,0
73161259,73161260,0
73161261,73161262,0
73161264,73161265,0
73161278,73161279,0
73161281,72727027,0
73161282,73161283,0
73161285,44074666,0
73161287,73161288,0
73161290,73161291,0
73161293,73161294,0
73161296,73073368,0
73161298,73161299,0
73161301,73161302,0
73161316,73161317,0
73161319,73161320,0
73161322,73161323,0
73161325,73161326,0
73161328,73161329,0
73161331,72278893,0
73161332,73161333,0
73161344,72472356,0
73161346,73161347,0
73161349,73161350,0
73161352,73161353,0
73161366,73161367,0
73161369,73161370,0
73161372,73161373,0
73161375,73035707,0
73161377,73161378,0
73161380,73161381,0
73161383,72742906,0
73161385,73161386,0
73161398,73161399,0
73161401,73161402,0
73161404,73161405,0
73161407,73161408,0
73161410,73136219,0
73161412,73161413,0
73161414,30717098,0
73161430,73161431,0
73161433,73161434,0
73161436,73161437,0
73161439,73161440,0
73161442,13417554,0
73161443,73161444,0
73161446,73161447,0
73161459,73161460,0
73161470,73161471,0
73161473,73161474,0
73161476,73161477,0
73161479,73161480,0
73161482,73161483,0
73161494,73034332,0
73161496,21135364,0
73161497,73161498,0
73161500,28264302,0
73161501,73161502,0
73161516,73161517,0
73161519,73161520,0
73161522,72521157,0
73161523,73161524,0
73161526,12459844,0
73161527,72817278,0
73161536,72156190,0
73161537,72165748,0
73161539,8433163,0
73161540,73161541,0
73161543,73161544,0
73161555,73161556,0
73161558,73161559,0
73161561,73161562,0
73161575,8559179,0
73161576,73161577,0
73161579,73161580,0
73161582,73161583,0
73161585,8805449,0
73161586,73161587,0
73161589,73161590,0
73161602,40701138,0
73161603,73161604,0
73161630,73161631,0
73161633,73161634,0
73161636,73161637,0
73161639,73043582,0
73161641,73161642,0
73161644,72571460,0
73161646,72202959,0
73161648,73161649,0
73161651,73161652,0
73161654,73161655,0
73161657,73161658,0
73161660,45844592,0
73161670,73097690,0
73161671,73032046,0
73161672,73161673,0
73161675,73161676,0
73161678,73161679,0
73161681,73161682,0
73161684,73161685,0
73161687,8231784,0
73161688,73161689,0
73161703,73161704,0
73161706,73161707,0
73161709,73161710,0
73161712,73161713,0
73161726,73161727,0
73161729,73161730,0
73161732,73161733,0
73161735,72715486,0
73161737,29004502,0
73161738,12660002,0
73161751,73161752,0
73161754,73161755,0
73161757,73161758,0
73161759,73161760,0
73161762,73161763,0
73161772,73161773,0
73161775,8700693,0
73161776,73161777,0
73161790,73161791,0
73161793,39643118,0
73161803,73161804,0
73161806,72245644,0
73161807,73161808,0
73161818,72936286,0
73161820,73161821,0
73161823,73161824,0
