src,dest,batch
73160525,410917,0
73160528,1555228,0
73160531,4169879,0
73160532,4169879,0
73160535,4169879,0
73160537,822680,0
73160540,4169879,0
73160543,4169879,0
73160545,6970734,0
73160548,4169879,0
73160549,4169879,0
73160565,14951735,0
73160567,14951735,0
73160570,14951735,0
73160572,6970734,0
73160575,14951735,0
73160576,2138765,0
73160579,2544685,0
73160597,822680,0
73160600,3442335,0
73160603,3455784,0
73160606,822680,0
73160609,822680,0
73160612,822680,0
73160615,822680,0
73160617,822680,0
73160620,2138765,0
73160635,2480681,0
73160638,8481772,0
73160640,2480681,0
73160643,2148396,0
73160644,6970734,0
73160645,3175168,0
73160656,726565,0
73160659,726565,0
73160662,726542,0
73160665,3481970,0
73160667,6338073,0
73160670,3175168,0
73160673,726565,0
73160687,6970734,0
73160690,6970734,0
73160693,10678951,0
73160695,2544685,0
73160711,3175168,0
73160713,3175168,0
73160716,3175168,0
73160718,4008822,0
73160721,2478762,0
73160732,2138765,0
73160744,5292285,0
73160747,2544685,0
73160750,995009,0
73160766,463587,0
73160769,4159094,0
73160770,4159094,0
73160773,4159094,0
73160775,4159094,0
73160776,2544685,0
73160778,467250,0
73160781,6200033,0
73160794,467250,0
73160797,3175168,0
73160800,2544685,0
73160814,6200033,0
73160817,6200033,0
73160820,1334266,0
73160823,6200033,0
73160824,6200033,0
73160825,6200033,0
73160828,1000620,0
73160843,3859346,0
73160846,3859346,0
73160861,1750405,0
73160864,9655820,0
73160865,4725805,0
73160880,4287720,0
73160883,4287641,0
73160886,4287680,0
73160889,3859346,0
73160890,4287641,0
73160892,1000620,0
73160907,1000620,0
73160910,1000620,0
73160924,3011399,0
73160927,4076829,0
73160930,2633252,0
73160933,6200033,0
73160936,4725805,0
73160938,4076829,0
73160939,2465610,0
73160942,4076829,0
73160945,7119260,0
73160948,4076829,0
73160962,855643,0
73160965,175169,0
73160967,6200033,0
73160970,4725805,0
73160972,2465610,0
73160984,1278289,0
73160987,587886,0
73160989,1278289,0
73160991,1278289,0
73160994,8565526,0
73160997,1278289,0
73161000,2071491,0
73161012,3967782,0
73161014,7119260,0
73161017,7119260,0
73161020,5984742,0
73161023,6052308,0
73161026,7119260,0
73161041,585096,0
73161044,585096,0
73161057,3349474,0
73161060,3107112,0
73161063,3349502,0
73161066,1124010,0
73161077,8565526,0
73161080,3362533,0
73161083,585096,0
73161086,3349502,0
73161089,782070,0
73161092,8565526,0
73161093,4596962,0
73161096,8565526,0
73161109,10053575,0
73161112,782070,0
73161114,15424511,0
73161117,782070,0
73161120,782070,0
73161122,4596962,0
73161123,1124010,0
73161137,1788205,0
73161140,2071491,0
73161143,2071491,0
73161145,2071491,0
73161148,3349502,0
73161151,2071491,0
73161163,4596962,0
73161164,6664686,0
73161167,4596962,0
73161170,4596962,0
73161173,585096,0
73161174,4596962,0
73161187,2278296,0
73161190,2393258,0
73161193,5984742,0
73161196,5984742,0
73161199,3349502,0
73161202,6052308,0
73161214,4964432,0
73161215,2036111,0
73161218,6052308,0
73161219,6852635,0
73161222,6052308,0
73161224,1124010,0
73161238,137211,0
73161241,1123988,0
73161249,598840,0
73161252,598825,0
73161253,6117854,0
73161255,1334408,0
73161256,598840,0
73161259,598840,0
73161261,3475601,0
73161264,598840,0
73161278,2153579,0
73161281,2153579,0
73161282,2153579,0
73161285,522614,0
73161287,6052308,0
73161290,2153579,0
73161293,2153579,0
73161296,2153579,0
73161298,2153579,0
73161301,21421437,0
73161316,1477108,0
73161319,858079,0
73161322,858080,0
73161325,1477095,0
73161328,6052308,0
73161331,21421437,0
73161332,1477108,0
73161344,3475601,0
73161346,290827,0
73161349,3475601,0
73161352,3475601,0
73161366,5372964,0
73161369,5372964,0
73161372,5596077,0
73161375,5372964,0
73161377,3475601,0
73161380,821598,0
73161383,21421437,0
73161385,5372964,0
73161398,821586,0
73161401,2277707,0
73161404,916867,0
73161407,598840,0
73161410,1477108,0
73161412,821598,0
73161414,821598,0
73161430,21246227,0
73161433,21421437,0
73161436,2036162,0
73161439,21421437,0
73161442,2556960,0
73161443,21421437,0
73161446,21421437,0
73161459,1354687,0
73161470,1212691,0
73161473,1332242,0
73161476,3086192,0
73161479,2556960,0
73161482,2556960,0
73161494,1724717,0
73161496,1724718,0
73161497,1724719,0
73161500,1332276,0
73161501,3086192,0
73161516,1332242,0
73161519,424921,0
73161522,1332276,0
73161523,322521,0
73161526,1332242,0
73161527,1332242,0
73161536,1332276,0
73161537,1332276,0
73161539,1445667,0
73161540,175659,0
73161543,3369032,0
73161555,3086074,0
73161558,6875338,0
73161561,3086192,0
73161575,6065443,0
73161576,175659,0
73161579,175659,0
73161582,175659,0
73161585,5673386,0
73161586,1327191,0
73161589,3369032,0
73161602,1327191,0
73161603,1327191,0
73161630,3026192,0
73161633,3026192,0
73161636,3026192,0
73161639,3026192,0
73161641,3026192,0
73161644,11819276,0
73161646,1332276,0
73161648,3026192,0
73161651,3026192,0
73161654,1327191,0
73161657,3369032,0
73161660,2326067,0
73161670,2326067,0
73161671,680908,0
73161672,5089418,0
73161675,4817343,0
73161678,2326067,0
73161681,2326067,0
73161684,2326067,0
73161687,5502017,0
73161688,2326067,0
73161703,1317118,0
73161706,3369032,0
73161709,201914,0
73161712,5502017,0
73161726,201920,0
73161729,201921,0
73161732,201922,0
73161735,1332276,0
73161737,3369032,0
73161738,5502017,0
73161751,3312427,0
73161754,5502017,0
73161757,5502017,0
73161759,5502017,0
73161762,16834287,0
73161772,4964177,0
73161775,16834287,0
73161776,7822348,0
73161790,16834287,0
73161793,961774,0
73161803,7822348,0
73161806,7822348,0
73161807,7822348,0
73161818,6830851,0
73161820,4223223,0
73161823,961774,0
73161826,961774,0
73161842,1133805,0
73161845,1810448,0
73161848,5665000,0
73161849,4059158,0
73161852,5665000,0
73161855,961774,0
73161858,3115211,0
73161860,9946318,0
73161863,5665000,0
73161866,5665000,0
73161869,5665000,0
73161882,11486986,0
73161884,3115211,0
73161887,587325,0
73161890,6442892,0
73161893,3115211,0
73161895,961774,0
73161896,1896453,0
73161908,1730198,0
73161911,9946318,0
